dept_rollup_name,fund_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Austin Water,W-Water Improvements,1915630.0,1596359.0,1,75.0,1436722.5,319271.0,83.33336813476507,159636.5,8.333368134765067,2128478.6666666665,212848.6666666665,Above pace
Parks & Recreation,Parks and Recreation Parking and Gate Entry Fund,1912678.0,1519976.6,14,75.0,1434508.5,392701.3999999999,79.46850436926654,85468.1000000001,4.46850436926654,2026635.4666666668,113957.46666666679,Near pace
Watershed Protection,Urban Wtr Structual Control Fe,1681486.0,1261114.5,1,75.0,1261114.5,420371.5,75.0,0.0,0.0,1681486.0,0.0,Near pace
Building Services,Ben White Facility Fund,1529560.0,976380.58,2,75.0,1147170.0,553179.42,63.83408169669709,-170789.42000000004,-11.16591830330291,1301840.7733333332,-227719.2266666668,Below pace
Planning & Zoning,GCP-NPZ General,1500000.0,1500000.0,2,75.0,1125000.0,0.0,100.0,375000.0,25.0,2000000.0,500000.0,Above pace
Parks & Recreation,PARD Donations Fund,1300038.0,115469.17,49,75.0,975028.5,1184568.83,8.881984218922831,-859559.33,-66.11801578107716,153958.89333333334,-1146079.1066666667,Below pace
Police,Police Federal Department of Justice Asset Forfeiture Fund,1271568.0,255498.04,9,75.0,953676.0,1016069.96,20.09314798736678,-698177.96,-54.90685201263322,340664.05333333334,-930903.9466666667,Below pace
Austin Public Health,Opioid Settlement Fund,1166795.0,598501.9500000001,24,75.0,875096.25,568293.0499999999,51.294524745135185,-276594.29999999993,-23.705475254864815,798002.6000000001,-368792.3999999999,Below pace
Animal Services,Animal Services Fund,1136094.27,319314.72000000003,39,75.0,852070.7025,816779.55,28.106357758498337,-532755.9824999999,-46.89364224150167,425752.96,-710341.31,Below pace
Austin Convention Center,Tourism District Incentives Fund,942845.0,785704.17,2,75.0,707133.75,157140.82999999996,83.33333368687325,78570.42000000004,8.333333686873246,1047605.56,104760.56000000006,Above pace
Economic Development,Rainey Street Historic District Fund,901054.0,0.0,1,75.0,675790.5,901054.0,0.0,-675790.5,-75.0,0.0,-901054.0,Below pace
Homeless Strategy Office,House Our People Endowment Fund,900000.0,43915.380000000005,11,75.0,675000.0,856084.62,4.879486666666667,-631084.62,-70.12051333333334,58553.840000000004,-841446.16,Below pace
Public Works,General Fund Budget Stabilization Reserve Fund,898000.0,202976.9,7,75.0,673500.0,695023.1,22.603218262806237,-470523.1,-52.39678173719376,270635.86666666664,-627364.1333333333,Below pace
Fire,General Fund Budget Stabilization Reserve Fund,875000.0,875000.0,3,75.0,656250.0,0.0,100.0,218750.0,25.0,1166666.6666666667,291666.66666666674,Above pace
Parks & Recreation,Golf Surcharge Fund,870908.0,653181.0,1,75.0,653181.0,217727.0,75.0,0.0,0.0,870908.0,0.0,Near pace
Police,Police Benefit Fund,739054.0,151965.03,4,75.0,554290.5,587088.97,20.56210101021035,-402325.47,-54.43789898978965,202620.04,-536433.96,Below pace
Austin Public Library,Special Library,692488.0,91932.23000000001,26,75.0,519366.0,600555.77,13.275642321599799,-427433.77,-61.7243576784002,122576.30666666669,-569911.6933333334,Below pace
Building Services,Rutherford Lane Facility Fund,597996.0,0.0,3,75.0,448497.0,597996.0,0.0,-448497.0,-75.0,0.0,-597996.0,Below pace
Financial Services,Seaholm Parking Garage Revenue Fund,578295.0,578295.0,1,75.0,433721.25,0.0,100.0,144573.75,25.0,771060.0,192765.0,Above pace
Police,ARIC Sustainability,571573.0,419527.63,14,75.0,428679.75,152045.37,73.39878370741795,-9152.119999999995,-1.601216292582052,559370.1733333333,-12202.82666666666,Near pace
Financial Services,Indian Hills Public Improvement District Fund,557131.0,55111.4,5,75.0,417848.25,502019.6,9.89200026564668,-362736.85,-65.10799973435331,73481.86666666667,-483649.1333333333,Below pace
Austin Convention Center,Convention Center Repair and Replacement Fund,538004.0,61744.21,4,75.0,403503.0,476259.79,11.47653363172021,-341758.79,-63.52346636827979,82325.61333333333,-455678.38666666666,Below pace
Human Resources,General Fund,465000.0,452529.99,1,75.0,348750.0,12470.01000000001,97.31827741935484,103779.98999999999,22.318277419354843,603373.32,138373.31999999995,Above pace
Watershed Protection,Riparian Zone Mitigation Fund,400000.0,300000.0,1,75.0,300000.0,100000.0,75.0,0.0,0.0,400000.0,0.0,Near pace
General Obligation Debt Service,HUD Section 108 Debt Service Fund,395350.0,349578.56,3,75.0,296512.5,45771.44,88.4225521689642,53066.06,13.422552168964202,466104.74666666664,70754.74666666664,Above pace
Economic Development,HUD Section 108 Family Business Loan Program Fund,395350.0,329458.3,2,75.0,296512.5,65891.70000000001,83.33332490198558,32945.79999999999,8.333324901985577,439277.73333333334,43927.73333333334,Above pace
Economic Development,South Congress Public Improvement District Fund,327000.0,22532.5,5,75.0,245250.0,304467.5,6.890672782874618,-222717.5,-68.10932721712538,30043.333333333332,-296956.6666666667,Below pace
Police,Police Federal Department of Treasury Asset Forfeiture Fund,323224.0,0.0,4,75.0,242418.0,323224.0,0.0,-242418.0,-75.0,0.0,-323224.0,Below pace
Planning & Zoning,Planning Technology Fund,309760.0,236309.22,7,75.0,232320.0,73450.78,76.28784220041322,3989.220000000001,1.2878422004132233,315078.96,5318.960000000021,Near pace
Austin Water,Water Reclamation,309231.0,309231.0,1,75.0,231923.25,0.0,100.0,77307.75,25.0,412308.0,103077.0,Above pace
Police,Police State Contraband Asset Forfeiture Fund,302603.0,0.0,10,75.0,226952.25,302603.0,0.0,-226952.25,-75.0,0.0,-302603.0,Below pace
Building Services,Long Center Capital Improvements Fund,300000.0,100516.37,1,75.0,225000.0,199483.63,33.50545666666667,-124483.63,-41.49454333333333,134021.82666666666,-165978.17333333334,Below pace
Austin Water,Austin Water Wildland Conservation Fund,285000.0,117152.53,2,75.0,213750.0,167847.47,41.10615087719298,-96597.47,-33.89384912280702,156203.37333333332,-128796.62666666668,Below pace
Financial Services,Mueller Development Fund,280000.0,0.0,1,75.0,210000.0,280000.0,0.0,-210000.0,-75.0,0.0,-280000.0,Below pace
Watershed Protection,Barton Springs Conservation,260000.0,56462.61,2,75.0,195000.0,203537.39,21.71638846153846,-138537.39,-53.28361153846154,75283.48,-184716.52000000002,Below pace
Financial Services,Seaholm Tax Increment Financing Fund,223198.0,225425.0,1,75.0,167398.5,-2227.0,100.99776879721145,58026.5,25.99776879721145,300566.6666666667,77368.66666666669,Above pace
Austin Convention Center,Convention Center Marketing and Promotion Fund,208865.0,39750.47,1,75.0,156648.75,169114.53,19.031656811816244,-116898.28,-55.96834318818375,53000.62666666667,-155864.37333333332,Below pace
