expense_category,expense_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Contractual services,Services-security,20130962.0,13899376.7,131,75.0,15098221.5,6231585.300000001,69.04477143218492,-1198844.8000000007,-5.955228567815084,18532502.266666666,-1598459.7333333343,Below pace
Transfers & debt service,Trf to Airport Operating Fund,19706476.0,19788223.41,3,75.0,14779857.0,-81747.41000000015,100.41482510622396,5008366.41,25.414825106223958,26384297.88,6677821.879999999,Above pace
Transfers & debt service,Trf to Wastewater Operating Fund,19053083.0,18460800.619999997,5,75.0,14289812.25,592282.3800000027,96.89140922757748,4170988.3699999973,21.891409227577483,24614400.826666664,5561317.826666664,Above pace
Other operating costs,Gasoline/oil/grease,17725482.0,14343477.71,134,75.0,13294111.5,3382004.289999999,80.92009971858593,1049366.210000001,5.920099718585931,19124636.94666667,1399154.946666669,Above pace
Transfers & debt service,Trf to PEC Operating Fund,17350014.0,14458345.0,3,75.0,13012510.5,2891669.0,83.33333333333333,1445834.5,8.333333333333329,19277793.333333332,1927779.333333332,Above pace
"Supplies, technology & equipment",Transportation-city veh fuel,17239817.0,13965372.09,332,75.0,12929862.75,3274444.91,81.00649844485008,1035509.3399999999,6.006498444850081,18620496.12,1380679.120000001,Above pace
"Supplies, technology & equipment",Maintenance-other equipment,17209845.0,13912869.91,269,75.0,12907383.75,3296975.09,80.84250561233992,1005486.1600000001,5.84250561233992,18550493.213333335,1340648.2133333348,Above pace
Transfers & debt service,Trf to CIP Mgm - CPM,17124400.0,14443088.3,20,75.0,12843300.0,2681311.6999999993,84.34215680549391,1599788.3000000007,9.342156805493914,19257451.066666666,2133051.0666666664,Above pace
Contractual services,Services-temporary employme,17092684.0,9915554.42,24,75.0,12819513.0,7177129.58,58.01051736520724,-2903958.58,-16.989482634792758,13220739.226666667,-3871944.7733333334,Below pace
Contractual services,Services-engineering,16827376.0,6330186.09,56,75.0,12620532.0,10497189.91,37.618379062784356,-6290345.91,-37.381620937215644,8440248.12,-8387127.880000001,Below pace
Transfers & debt service,TRF Operating to Debt Defeasance,16633211.0,16626446.88,3,75.0,12474908.25,6764.11999999918,99.95933364880659,4151538.630000001,24.95933364880659,22168595.84,5535384.84,Above pace
Transfers & debt service,Trf to PARD CIP Fund,16082540.0,12061905.0,15,75.0,12061905.0,4020635.0,75.0,0.0,0.0,16082540.0,0.0,Near pace
Transfers & debt service,Trf to Cultural Arts Fund,15968425.0,16453883.28,1,75.0,11976318.75,-485458.27999999933,103.04011372442805,4477564.529999999,28.040113724428053,21938511.04,5970086.039999999,Above pace
Other operating costs,Workers' Compensation,15567697.0,13094284.799999999,33,75.0,11675772.75,2473412.200000001,84.1118940071868,1418512.0499999989,9.111894007186805,17459046.4,1891349.3999999985,Above pace
Other operating costs,Maintenance-buildings,15335249.0,6045278.890000001,141,75.0,11501436.75,9289970.11,39.42080686136887,-5456157.859999999,-35.57919313863113,8060371.853333334,-7274877.146666666,Below pace
"Supplies, technology & equipment",Rental-vehicles/buses,14967767.0,10131136.65,120,75.0,11225825.25,4836630.35,67.68635996271188,-1094688.5999999996,-7.313640037288124,13508182.200000001,-1459584.7999999989,Below pace
Transfers & debt service,Trf to Mueller Local Gov Corp,14889982.0,12408318.399999999,2,75.0,11167486.5,2481663.6000000015,83.33333378106164,1240831.8999999985,8.33333378106164,16544424.533333331,1654442.5333333313,Above pace
Other operating costs,Dental claims,14854374.0,13615729.54,2,75.0,11140780.5,1238644.460000001,91.66141595734697,2474949.039999999,16.661415957346975,18154306.05333333,3299932.053333331,Above pace
Transfers & debt service,Bad Debt Expense,14000352.0,8948967.74,9,75.0,10500264.0,5051384.26,63.919591021711454,-1551296.2599999998,-11.080408978288546,11931956.986666666,-2068395.0133333337,Below pace
Personnel & benefits,Seasonal employees,13988600.0,13663240.03,207,75.0,10491450.0,325359.97000000067,97.67410627225026,3171790.0299999993,22.674106272250256,18217653.37333333,4229053.373333331,Above pace
Transfers & debt service,Commercial paper interest,13857588.0,11321460.32,4,75.0,10393191.0,2536127.6799999997,81.69863557785092,928269.3200000003,6.698635577850922,15095280.426666668,1237692.4266666677,Above pace
Contractual services,Services-Platform as a Service,13631067.0,5497161.9,33,75.0,10223300.25,8133905.1,40.32818487356859,-4726138.35,-34.67181512643141,7329549.2,-6301517.8,Below pace
Other operating costs,Regional Radio System,13279805.0,11185628.1,23,75.0,9959853.75,2094176.9000000004,84.2303640753761,1225774.3499999996,9.230364075376102,14914170.799999999,1634365.7999999989,Above pace
Transfers & debt service,Trf to Resource Recovery CIP,13236323.0,9927242.25,1,75.0,9927242.25,3309080.75,75.0,0.0,0.0,13236323.0,0.0,Near pace
Other operating costs,Land,13215260.0,4279899.1,6,75.0,9911445.0,8935360.9,32.38603780780703,-5631545.9,-42.61396219219297,5706532.133333333,-7508727.866666667,Below pace
Transfers & debt service,Trf to Reclaimed Water Fund,12966571.0,8721021.67,3,75.0,9724928.25,4245549.33,67.25773274985345,-1003906.5800000001,-7.742267250146554,11628028.893333333,-1338542.1066666674,Below pace
"Supplies, technology & equipment",Parts for vehicles,12955148.0,12900170.629999999,95,75.0,9716361.0,54977.37000000104,99.5756330224865,3183809.629999999,24.5756330224865,17200227.506666664,4245079.506666664,Above pace
Transfers & debt service,Trf to Tourism & Promotion Fnd,12651636.0,12839850.45,2,75.0,9488727.0,-188214.44999999925,101.48766886748876,3351123.4499999993,26.487668867488765,17119800.599999998,4468164.599999998,Above pace
Other operating costs,Maintenance-grounds,12650311.0,6073178.350000001,102,75.0,9487733.25,6577132.649999999,48.00813474071902,-3414554.8999999994,-26.991865259280978,8097571.133333334,-4552739.866666666,Below pace
Other operating costs,Rental-real estate-office,12597289.0,5665005.44,87,75.0,9447966.75,6932283.56,44.97003633083277,-3782961.3099999996,-30.02996366916723,7553340.586666667,-5043948.413333333,Below pace
Contractual services,Services-benefits management,12164321.0,9611856.34,14,75.0,9123240.75,2552464.66,79.01679296361877,488615.58999999985,4.016792963618769,12815808.453333333,651487.4533333331,Near pace
Other operating costs,Compensation Adjustment,11979971.0,0.0,60,75.0,8984978.25,11979971.0,0.0,-8984978.25,-75.0,0.0,-11979971.0,Below pace
Personnel & benefits,Backcharged salary & fringes,11937700.38,1164083.63,163,75.0,8953275.285,10773616.75,9.75132222241282,-7789191.655,-65.24867777758718,1552111.5066666666,-10385588.873333335,Below pace
"Supplies, technology & equipment",Small tools/minor equipment,11679341.0,8292826.07,895,75.0,8759505.75,3386514.9299999997,71.00422934821408,-466679.6799999997,-3.995770651785918,11057101.426666668,-622239.5733333323,Near pace
Other operating costs,Intradeptl chgs-street cut rpr,11000000.0,8945529.51,4,75.0,8250000.0,2054470.4900000002,81.32299554545455,695529.5099999998,6.322995545454546,11927372.68,927372.6799999997,Above pace
Other operating costs,Terminal pay,10337699.0,12040911.44,799,75.0,7753274.25,-1703212.4399999995,116.47574029772002,4287637.1899999995,41.47574029772002,16054548.586666666,5716849.586666666,Above pace
Other operating costs,Medicare Advantage Premiums,10318975.0,8769793.38,1,75.0,7739231.25,1549181.6199999992,84.98705908290312,1030562.1300000008,9.987059082903116,11693057.840000002,1374082.8400000017,Above pace
Other operating costs,Advertising/publication,9561829.2,3404459.12,240,75.0,7171371.899999999,6157370.079999999,35.60468450952879,-3766912.7799999993,-39.39531549047121,4539278.826666667,-5022550.373333332,Below pace
Other operating costs,Subscriptions,9520728.8,5823439.31,419,75.0,7140546.600000001,3697289.490000001,61.16589845516868,-1317107.290000001,-13.83410154483132,7764585.746666666,-1756143.0533333346,Below pace
Other operating costs,Asphalt,9379862.0,7028645.66,28,75.0,7034896.5,2351216.34,74.93335893427856,-6250.839999999851,-0.06664106572144135,9371527.546666667,-8334.453333333135,Near pace
Transfers & debt service,Trf to Support Services Fund,9340294.0,9340294.0,1,75.0,7005220.5,0.0,100.0,2335073.5,25.0,12453725.333333334,3113431.333333334,Above pace
Other operating costs,Call back time,8977754.0,11541006.13,344,75.0,6733315.5,-2563252.130000001,128.55115132359384,4807690.630000001,53.55115132359384,15388008.173333334,6410254.173333334,Above pace
Personnel & benefits,Fire/Extend Coverage Insurance,8971402.0,6515438.8,20,75.0,6728551.5,2455963.2,72.62453293253384,-213112.7000000002,-2.375467067466161,8687251.733333332,-284150.26666666754,Near pace
Transfers & debt service,Trf to Housing Trust Fund,8807089.0,7414240.8,1,75.0,6605316.75,1392848.2000000002,84.18491967096053,808924.0499999998,9.184919670960525,9885654.4,1078565.4000000004,Above pace
Other operating costs,Stability pay,8651929.0,9318371.96,1235,75.0,6488946.75,-666442.9600000009,107.70282511564763,2829425.210000001,32.70282511564763,12424495.946666667,3772566.9466666672,Above pace
Other operating costs,Weekly payments,8442128.0,4390790.96,2,75.0,6331596.0,4051337.04,52.010476031635626,-1940805.04,-22.989523968364374,5854387.946666666,-2587740.0533333337,Below pace
Other operating costs,Inventory purchases,8407162.0,7024843.04,29,75.0,6305371.5,1382318.96,83.55784080287735,719471.54,8.557840802877351,9366457.386666667,959295.3866666667,Above pace
Other operating costs,Accrued Payroll,8391292.0,8391292.0,50,75.0,6293469.0,0.0,100.0,2097823.0,25.0,11188389.333333334,2797097.333333334,Above pace
Other operating costs,Multifamily Cust Asst Prog Costs,8019648.0,6556033.0,1,75.0,6014736.0,1463615.0,81.74963539546873,541297.0,6.749635395468729,8741377.333333334,721729.333333334,Above pace
Transfers & debt service,Trf to General Fnd-Emergncy Rs,7932842.0,6610701.65,1,75.0,5949631.5,1322140.3499999996,83.33333312323629,661070.1500000004,8.333333123236287,8814268.866666667,881426.8666666672,Above pace
"Supplies, technology & equipment",Software,7819277.0,3876875.94,447,75.0,5864457.75,3942401.06,49.581002693727314,-1987581.81,-25.418997306272686,5169167.92,-2650109.08,Below pace
"Supplies, technology & equipment",Safety equipment,7593700.01,4402624.25,513,75.0,5695275.0075,3191075.76,57.977326523332074,-1292650.7575000003,-17.022673476667926,5870165.666666667,-1723534.3433333328,Below pace
Other operating costs,Liability Reserve,7164000.0,6141000.1,38,75.0,5373000.0,1022999.9000000004,85.72026940256839,768000.0999999996,10.720269402568391,8188000.133333333,1024000.1333333328,Above pace
"Supplies, technology & equipment",Medical/dental supplies,7159169.0,4326428.52,196,75.0,5369376.75,2832740.4800000004,60.43199315451276,-1042948.2300000004,-14.56800684548724,5768571.359999999,-1390597.6400000006,Below pace
Contractual services,Water service,7105110.0,5395252.76,165,75.0,5328832.5,1709857.2400000002,75.93482380990582,66420.25999999978,0.9348238099058221,7193670.346666667,88560.34666666668,Near pace
Transfers & debt service,Trf to Debt Svs-Other Enterpr,7000000.0,0.0,1,75.0,5250000.0,7000000.0,0.0,-5250000.0,-75.0,0.0,-7000000.0,Below pace
"Supplies, technology & equipment",Supplemental life ins premiums,6905589.0,6029270.7,1,75.0,5179191.75,876318.2999999998,87.31001367153475,850078.9500000002,12.310013671534747,8039027.600000001,1133438.6000000006,Above pace
Transfers & debt service,Trf to Development Services,6844808.0,5740680.640000001,3,75.0,5133606.0,1104127.3599999994,83.86912591266257,607074.6400000006,8.869125912662568,7654240.853333334,809432.8533333344,Above pace
Other operating costs,Seminar/training fees,6842909.0,2286179.09,798,75.0,5132181.75,4556729.91,33.4094621161848,-2846002.66,-41.5905378838152,3048238.7866666666,-3794670.2133333334,Below pace
Other operating costs,Authorized budget,6801000.0,0.0,1,75.0,5100750.0,6801000.0,0.0,-5100750.0,-75.0,0.0,-6801000.0,Below pace
Other operating costs,Stop loss fee-health insura,6771464.0,6295116.43,9,75.0,5078598.0,476347.5700000003,92.96536805039501,1216518.4299999997,17.965368050395014,8393488.573333332,1622024.5733333323,Above pace
"Supplies, technology & equipment",Minor computer hardware,6697766.0,2638559.31,576,75.0,5023324.5,4059206.69,39.39461769790106,-2384765.19,-35.60538230209894,3518079.08,-3179686.92,Below pace
Other operating costs,Maintenance-bridges/carouse,6432000.0,3976257.33,1,75.0,4824000.0,2455742.67,61.81992117537313,-847742.6699999999,-13.180078824626868,5301676.44,-1130323.5599999996,Below pace
Contractual services,Services-janitorial,6352174.0,5340036.33,51,75.0,4764130.5,1012137.6699999999,84.06627919827133,575905.8300000001,9.066279198271332,7120048.44,767874.4400000004,Above pace
Other operating costs,Intradeptl charges,6174736.0,5348212.54,53,75.0,4631052.0,826523.46,86.61443242269792,717160.54,11.614432422697917,7130950.053333334,956214.0533333337,Above pace
Other operating costs,Decommissioning exp-NonNuclear,6000000.0,7969184.9,1,75.0,4500000.0,-1969184.9000000004,132.81974833333334,3469184.9000000004,57.81974833333334,10625579.866666667,4625579.866666667,Above pace
Contractual services,Services-Appraisal Districts,5836188.0,3234652.89,1,75.0,4377141.0,2601535.11,55.42406944395897,-1142488.1099999999,-19.57593055604103,4312870.5200000005,-1523317.4799999995,Below pace
"Supplies, technology & equipment",Other Equipment,5750508.0,2453433.09,103,75.0,4312881.0,3297074.91,42.66463223770839,-1859447.9100000001,-32.33536776229161,3271244.1199999996,-2479263.8800000004,Below pace
Contractual services,Services-medical/surgical,5734471.0,3172179.29,81,75.0,4300853.25,2562291.71,55.317731836118796,-1128673.96,-19.682268163881204,4229572.386666667,-1504898.6133333333,Below pace
Transfers & debt service,Trf to Econ Incentive Rsv Fund,5635943.0,4696619.2,3,75.0,4226957.25,939323.7999999998,83.33333392477532,469661.9500000002,8.333333924775317,6262158.933333334,626215.9333333336,Above pace
Transfers & debt service,Trf to Special Revenue Fund,5625000.0,7916267.67,14,75.0,4218750.0,-2291267.67,140.73364746666667,3697517.67,65.73364746666667,10555023.56,4930023.5600000005,Above pace
Other operating costs,Educational incentive pay,5450081.0,4706830.64,207,75.0,4087560.75,743250.3600000003,86.36258140016633,619269.8899999997,11.362581400166334,6275774.1866666665,825693.1866666665,Above pace
Transfers & debt service,Trf to Other Enterprise Fund,5418097.0,5303772.0,3,75.0,4063572.75,114325.0,97.88994180059899,1240199.25,22.88994180059899,7071696.0,1653599.0,Above pace
Contractual services,Services-Recycling Processing,5381779.0,2846991.75,3,75.0,4036334.25,2534787.25,52.90056968151238,-1189342.5,-22.09943031848762,3795989.0,-1585790.0,Below pace
Other operating costs,Allowances/other pay,5377707.0,2803080.9,352,75.0,4033280.25,2574626.1,52.12409117863803,-1230199.35,-22.875908821361968,3737441.1999999997,-1640265.8000000003,Below pace
"Supplies, technology & equipment",Clothing/clothing material,5247430.0,3116704.98,706,75.0,3935572.5,2130725.02,59.39488435291181,-818867.52,-15.60511564708819,4155606.64,-1091823.3599999999,Below pace
Other operating costs,Telephone-cellular phones,5159711.8,2541445.92,188,75.0,3869783.8499999996,2618265.88,49.255578964701094,-1328337.9299999997,-25.744421035298906,3388594.56,-1771117.2399999998,Below pace
Transfers & debt service,Trf to Facilities Mgmt Fund,5144806.0,2764171.51,5,75.0,3858604.5,2380634.49,53.72741965391892,-1094432.9900000002,-21.272580346081078,3685562.013333333,-1459243.9866666668,Below pace
Contractual services,Services - Contractual General Trades,5044590.0,3276638.9299999997,63,75.0,3783442.5,1767951.0700000003,64.95352308116219,-506803.5700000003,-10.046476918837811,4368851.906666666,-675738.0933333337,Below pace
Other operating costs,Decommissioning expense-STP,5000000.0,4133876.68,1,75.0,3750000.0,866123.3199999998,82.6775336,383876.68000000017,7.677533600000004,5511835.573333333,511835.57333333325,Above pace
Other operating costs,Educational/promotional,4990142.0,1693049.1400000001,392,75.0,3742606.5,3297092.86,33.92787499834674,-2049557.3599999999,-41.07212500165326,2257398.8533333335,-2732743.1466666665,Below pace
