month,fiscal_year,month_number,period_status,business_unit,statement_group,line_item,budget_amount,actual_amount,base_forecast_amount,pnl_sign,is_synthetic
2026-09-01,2026,9,Forecast,SMB,Revenue,Professional services revenue,698176.16,,703063.39,1,True
2026-09-01,2026,9,Forecast,SMB,COGS,Cloud hosting,510000.0,,529635.0,-1,True
2026-09-01,2026,9,Forecast,SMB,COGS,Customer support delivery,245000.0,,249287.5,-1,True
2026-09-01,2026,9,Forecast,SMB,Operating expense,Sales & marketing,780000.0,,820950.0,-1,True
2026-09-01,2026,9,Forecast,SMB,Operating expense,Product & engineering,1044200.0,,1069782.9,-1,True
2026-09-01,2026,9,Forecast,SMB,Operating expense,General & administrative,430000.0,,428495.0,-1,True
2026-09-01,2026,9,Forecast,Customer Solutions,Revenue,Subscription revenue,2172103.61,,2134091.8,1,True
2026-09-01,2026,9,Forecast,Customer Solutions,Revenue,Professional services revenue,488723.31,,492144.38,1,True
2026-09-01,2026,9,Forecast,Customer Solutions,COGS,Cloud hosting,357000.0,,370744.5,-1,True
2026-09-01,2026,9,Forecast,Customer Solutions,COGS,Customer support delivery,171500.0,,174501.25,-1,True
2026-09-01,2026,9,Forecast,Customer Solutions,Operating expense,Sales & marketing,546000.0,,574665.0,-1,True
2026-09-01,2026,9,Forecast,Customer Solutions,Operating expense,Product & engineering,730940.0,,748848.03,-1,True
2026-09-01,2026,9,Forecast,Customer Solutions,Operating expense,General & administrative,301000.0,,299946.5,-1,True
2026-10-01,2026,10,Forecast,Enterprise,Revenue,Subscription revenue,5570400.0,,5472918.0,1,True
2026-10-01,2026,10,Forecast,Enterprise,Revenue,Professional services revenue,1253340.0,,1262113.38,1,True
2026-10-01,2026,10,Forecast,Enterprise,COGS,Cloud hosting,841500.0,,873897.75,-1,True
2026-10-01,2026,10,Forecast,Enterprise,COGS,Customer support delivery,404250.0,,411324.38,-1,True
2026-10-01,2026,10,Forecast,Enterprise,Operating expense,Sales & marketing,1287000.0,,1354567.5,-1,True
2026-10-01,2026,10,Forecast,Enterprise,Operating expense,Product & engineering,1745700.0,,1788469.65,-1,True
2026-10-01,2026,10,Forecast,Enterprise,Operating expense,General & administrative,709500.0,,707016.75,-1,True
2026-10-01,2026,10,Forecast,SMB,Revenue,Subscription revenue,3376000.0,,3316920.0,1,True
2026-10-01,2026,10,Forecast,SMB,Revenue,Professional services revenue,759600.0,,764917.2,1,True
2026-10-01,2026,10,Forecast,SMB,COGS,Cloud hosting,510000.0,,529635.0,-1,True
2026-10-01,2026,10,Forecast,SMB,COGS,Customer support delivery,245000.0,,249287.5,-1,True
2026-10-01,2026,10,Forecast,SMB,Operating expense,Sales & marketing,780000.0,,820950.0,-1,True
2026-10-01,2026,10,Forecast,SMB,Operating expense,Product & engineering,1058000.0,,1083921.0,-1,True
2026-10-01,2026,10,Forecast,SMB,Operating expense,General & administrative,430000.0,,428495.0,-1,True
2026-10-01,2026,10,Forecast,Customer Solutions,Revenue,Subscription revenue,2363200.0,,2321844.0,1,True
2026-10-01,2026,10,Forecast,Customer Solutions,Revenue,Professional services revenue,531720.0,,535442.04,1,True
2026-10-01,2026,10,Forecast,Customer Solutions,COGS,Cloud hosting,357000.0,,370744.5,-1,True
2026-10-01,2026,10,Forecast,Customer Solutions,COGS,Customer support delivery,171500.0,,174501.25,-1,True
2026-10-01,2026,10,Forecast,Customer Solutions,Operating expense,Sales & marketing,546000.0,,574665.0,-1,True
2026-10-01,2026,10,Forecast,Customer Solutions,Operating expense,Product & engineering,740600.0,,758744.7,-1,True
2026-10-01,2026,10,Forecast,Customer Solutions,Operating expense,General & administrative,301000.0,,299946.5,-1,True
2026-11-01,2026,11,Forecast,Enterprise,Revenue,Subscription revenue,5595158.51,,5497243.23,1,True
2026-11-01,2026,11,Forecast,Enterprise,Revenue,Professional services revenue,1258910.66,,1267723.04,1,True
2026-11-01,2026,11,Forecast,Enterprise,COGS,Cloud hosting,841500.0,,873897.75,-1,True
2026-11-01,2026,11,Forecast,Enterprise,COGS,Customer support delivery,404250.0,,411324.38,-1,True
2026-11-01,2026,11,Forecast,Enterprise,Operating expense,Sales & marketing,1287000.0,,1354567.5,-1,True
2026-11-01,2026,11,Forecast,Enterprise,Operating expense,Product & engineering,1768470.0,,1811797.51,-1,True
2026-11-01,2026,11,Forecast,Enterprise,Operating expense,General & administrative,709500.0,,707016.75,-1,True
2026-11-01,2026,11,Forecast,SMB,Revenue,Subscription revenue,3391005.15,,3331662.56,1,True
2026-11-01,2026,11,Forecast,SMB,Revenue,Professional services revenue,762976.16,,768316.99,1,True
2026-11-01,2026,11,Forecast,SMB,COGS,Cloud hosting,510000.0,,529635.0,-1,True
2026-11-01,2026,11,Forecast,SMB,COGS,Customer support delivery,245000.0,,249287.5,-1,True
2026-11-01,2026,11,Forecast,SMB,Operating expense,Sales & marketing,780000.0,,820950.0,-1,True
2026-11-01,2026,11,Forecast,SMB,Operating expense,Product & engineering,1071800.0,,1098059.1,-1,True
2026-11-01,2026,11,Forecast,SMB,Operating expense,General & administrative,430000.0,,428495.0,-1,True
2026-11-01,2026,11,Forecast,Customer Solutions,Revenue,Subscription revenue,2373703.61,,2332163.8,1,True
2026-11-01,2026,11,Forecast,Customer Solutions,Revenue,Professional services revenue,534083.31,,537821.9,1,True
2026-11-01,2026,11,Forecast,Customer Solutions,COGS,Cloud hosting,357000.0,,370744.5,-1,True
2026-11-01,2026,11,Forecast,Customer Solutions,COGS,Customer support delivery,171500.0,,174501.25,-1,True
2026-11-01,2026,11,Forecast,Customer Solutions,Operating expense,Sales & marketing,546000.0,,574665.0,-1,True
2026-11-01,2026,11,Forecast,Customer Solutions,Operating expense,Product & engineering,750260.0,,768641.37,-1,True
2026-11-01,2026,11,Forecast,Customer Solutions,Operating expense,General & administrative,301000.0,,299946.5,-1,True
2026-12-01,2026,12,Forecast,Enterprise,Revenue,Subscription revenue,5662800.0,,5563701.0,1,True
2026-12-01,2026,12,Forecast,Enterprise,Revenue,Professional services revenue,1274130.0,,1283048.91,1,True
2026-12-01,2026,12,Forecast,Enterprise,COGS,Cloud hosting,841500.0,,873897.75,-1,True
2026-12-01,2026,12,Forecast,Enterprise,COGS,Customer support delivery,404250.0,,411324.38,-1,True
2026-12-01,2026,12,Forecast,Enterprise,Operating expense,Sales & marketing,1287000.0,,1354567.5,-1,True
2026-12-01,2026,12,Forecast,Enterprise,Operating expense,Product & engineering,1791240.0,,1835125.38,-1,True
2026-12-01,2026,12,Forecast,Enterprise,Operating expense,General & administrative,709500.0,,707016.75,-1,True
2026-12-01,2026,12,Forecast,SMB,Revenue,Subscription revenue,3432000.0,,3371940.0,1,True
2026-12-01,2026,12,Forecast,SMB,Revenue,Professional services revenue,772200.0,,777605.4,1,True
2026-12-01,2026,12,Forecast,SMB,COGS,Cloud hosting,510000.0,,529635.0,-1,True
2026-12-01,2026,12,Forecast,SMB,COGS,Customer support delivery,245000.0,,249287.5,-1,True
2026-12-01,2026,12,Forecast,SMB,Operating expense,Sales & marketing,780000.0,,820950.0,-1,True
2026-12-01,2026,12,Forecast,SMB,Operating expense,Product & engineering,1085600.0,,1112197.2,-1,True
2026-12-01,2026,12,Forecast,SMB,Operating expense,General & administrative,430000.0,,428495.0,-1,True
2026-12-01,2026,12,Forecast,Customer Solutions,Revenue,Subscription revenue,2402400.0,,2360358.0,1,True
2026-12-01,2026,12,Forecast,Customer Solutions,Revenue,Professional services revenue,540540.0,,544323.78,1,True
2026-12-01,2026,12,Forecast,Customer Solutions,COGS,Cloud hosting,357000.0,,370744.5,-1,True
2026-12-01,2026,12,Forecast,Customer Solutions,COGS,Customer support delivery,171500.0,,174501.25,-1,True
2026-12-01,2026,12,Forecast,Customer Solutions,Operating expense,Sales & marketing,546000.0,,574665.0,-1,True
2026-12-01,2026,12,Forecast,Customer Solutions,Operating expense,Product & engineering,759920.0,,778538.04,-1,True
2026-12-01,2026,12,Forecast,Customer Solutions,Operating expense,General & administrative,301000.0,,299946.5,-1,True
