state,focus_group,population_lakh_reported,population_lakh,districts,cities_covered,cities_health_facility_mapped,cities_slum_mapped,cities_vulnerability_mapped,cbr,cdr,imr,mmr,tfr,sex_ratio,life_expectancy,nmr,u5mr,sub_centres,rural_subdistrict_facilities_24x7,uphcs_24x7,phcs,phcs_three_nurses,uphcs_operational,uphcs_minimum_package,chcs,uchcs_24x7,district_hospitals,facilities_24x7,core_public_facilities,urban_facility_mapping_pct,urban_slum_mapping_pct,urban_vulnerability_mapping_pct,phc_three_nurse_readiness_pct,uphc_minimum_package_pct,facilities_24x7_per_100k,phcs_per_100k,district_hospitals_per_million,core_facilities_per_100k,access_gap_percentile,phc_staffing_gap_percentile,urban_mapping_gap_percentile,infant_mortality_burden_percentile,priority_component_count,review_priority_score,data_completeness_pct,review_priority_band
Madhya Pradesh,High Focus - Non-NE,726.27,726.27,52.0,66.0,66.0,66.0,0.0,22.5,6.8,37.0,142.0,2.4,917.0,67.6,27.0,44.0,10157.0,1695.0,5.0,1442.0,204.0,140.0,140.0,348.0,4.0,52.0,1704.0,11999.0,100.0,100.0,0.0,14.147018030513177,100.0,2.3462348713288446,1.9854874908780482,0.7159871673069245,16.52140388560728,0.4117647058823529,0.7142857142857143,0.35714285714285715,0.9722222222222222,4,61.38538748832867,100.0,Moderate review priority
Kerala,Non-High Focus - Large,334.06,334.06,14.0,93.0,56.0,56.0,44.0,12.3,7.2,5.0,30.0,1.5,971.0,75.1,4.0,8.0,5416.0,479.0,0.0,849.0,283.0,102.0,102.0,226.0,0.0,18.0,479.0,6509.0,60.215053763440864,60.215053763440864,47.31182795698925,33.333333333333336,100.0,1.4338741543435312,2.5414596180326887,0.5388253607136443,19.484523738250612,0.7941176470588235,0.6,0.8857142857142857,0.08333333333333333,4,59.07913165266107,100.0,Moderate review priority
Chhattisgarh,High Focus - Non-NE,255.45,255.45,33.0,20.0,20.0,20.0,20.0,22.3,8.3,37.0,146.0,2.2,974.0,64.6,26.0,41.0,5450.0,421.0,60.0,765.0,348.0,60.0,0.0,182.0,6.0,25.0,487.0,6422.0,100.0,100.0,100.0,45.490196078431374,0.0,1.9064396163632804,2.9947152084556663,0.9786651008025053,25.139949109414758,0.5294117647058824,0.4857142857142857,0.35714285714285715,0.9722222222222222,4,58.61227824463119,100.0,Moderate review priority
Assam,High Focus - NE,312.06,312.06,27.0,14.0,14.0,14.0,14.0,19.8,6.2,32.0,110.0,2.0,938.0,68.6,33.0,35.0,4953.0,528.0,3.0,957.0,408.0,56.0,56.0,224.0,2.0,25.0,533.0,6159.0,100.0,100.0,100.0,42.63322884012539,100.0,1.7080048708581683,3.066717938857912,0.8011279882073961,19.736589117477408,0.5588235294117647,0.5142857142857142,0.35714285714285715,0.8888888888888888,4,57.97852474323062,100.0,Moderate review priority
Haryana,Non-High Focus - Large,253.51,253.51,23.0,29.0,29.0,29.0,20.0,18.7,6.8,26.0,89.0,1.9,884.0,68.8,19.0,30.0,2908.0,394.0,15.0,407.0,222.0,110.0,107.0,122.0,2.0,22.0,411.0,3459.0,100.0,100.0,68.96551724137932,54.54545454545455,97.27272727272727,1.6212378209932548,1.605459350715948,0.8678158652518638,13.644432172300895,0.7058823529411765,0.4,0.35714285714285715,0.7777777777777778,4,56.02007469654529,100.0,Moderate review priority
Karnataka,Non-High Focus - Large,610.95,610.95,31.0,81.0,80.0,70.0,70.0,15.2,6.8,14.0,68.0,1.5,931.0,70.0,11.0,17.0,9906.0,1313.0,12.0,2160.0,502.0,359.0,359.0,204.0,9.0,12.0,1334.0,12282.0,98.76543209876543,86.41975308641975,86.41975308641975,23.24074074074074,100.0,2.1834847368851786,3.535477534986496,0.19641541861036088,20.103118094770437,0.4411764705882353,0.6571428571428571,0.6857142857142857,0.4444444444444444,4,55.71195144724557,100.0,Moderate review priority
Punjab,Non-High Focus - Large,277.43,277.43,23.0,40.0,40.0,40.0,40.0,13.8,7.3,17.0,90.0,1.5,906.0,70.8,12.0,22.0,3193.0,402.0,5.0,421.0,210.0,102.0,90.0,150.0,2.0,23.0,409.0,3787.0,100.0,100.0,100.0,49.8812351543943,88.23529411764706,1.474245755686119,1.5174999098871786,0.8290379555203115,13.650290163284431,0.7352941176470589,0.45714285714285713,0.35714285714285715,0.5694444444444444,4,52.97560690943044,100.0,Moderate review priority
Himachal Pradesh,High Focus - Non-NE,68.65,68.65,12.0,3.0,4.0,3.0,3.0,14.3,6.7,14.0,,1.6,958.0,74.4,11.0,17.0,2129.0,112.0,0.0,581.0,0.0,21.0,0.0,107.0,0.0,12.0,112.0,2829.0,133.33333333333334,100.0,100.0,0.0,0.0,1.6314639475600872,8.463219227967953,1.747997086671522,41.20903131828113,0.6470588235294118,0.9714285714285714,0.02857142857142857,0.4444444444444444,4,52.2875816993464,87.5,Moderate review priority
Jammu & Kashmir,High Focus - Non-NE,125.41,125.41,20.0,7.0,7.0,7.0,5.0,14.8,5.6,14.0,,1.5,929.0,74.4,10.0,15.0,2489.0,270.0,2.0,373.0,66.0,49.0,40.0,43.0,0.0,13.0,272.0,2918.0,100.0,100.0,71.42857142857143,17.694369973190348,81.63265306122449,2.1688860537437207,2.9742444781117934,1.0365999521569254,23.26768200303006,0.47058823529411764,0.6857142857142857,0.35714285714285715,0.4444444444444444,4,48.94724556489262,87.5,Moderate review priority
Arunachal Pradesh,High Focus - NE,13.84,13.84,27.0,3.0,2.0,2.0,2.0,16.6,5.5,20.0,,,,,,,439.0,117.0,0.0,143.0,89.0,6.0,6.0,58.0,0.0,22.0,117.0,662.0,66.66666666666667,66.66666666666667,66.66666666666667,62.23776223776224,100.0,8.453757225433526,10.332369942196532,15.895953757225433,47.83236994219653,0.058823529411764705,0.34285714285714286,0.8571428571428571,0.6944444444444444,4,48.83169934640523,62.5,Moderate review priority
Meghalaya,High Focus - NE,29.67,29.67,12.0,4.0,4.0,4.0,4.0,22.7,5.5,34.0,,,,,,,555.0,92.0,0.0,115.0,74.0,19.0,19.0,29.0,0.0,14.0,92.0,713.0,100.0,100.0,100.0,64.34782608695652,100.0,3.10077519379845,3.875968992248062,4.718570947084597,24.031007751937985,0.3235294117647059,0.3142857142857143,0.35714285714285715,0.9166666666666666,4,47.790616246498594,62.5,Moderate review priority
Maharashtra,Non-High Focus - Large,1123.74,1123.74,34.0,98.0,98.0,98.0,98.0,14.0,6.1,14.0,36.0,1.4,894.0,72.8,11.0,16.0,11931.0,3121.0,76.0,2198.0,299.0,814.0,814.0,418.0,43.0,35.0,3240.0,14582.0,100.0,100.0,100.0,13.603275705186533,100.0,2.8832292167227296,1.955968462455728,0.3114599462509121,12.976311246373717,0.35294117647058826,0.7428571428571429,0.35714285714285715,0.4444444444444444,4,47.43464052287582,100.0,Moderate review priority
Andhra Pradesh,Non-High Focus - Large,845.81,845.81,26.0,123.0,123.0,123.0,123.0,15.0,6.9,19.0,30.0,1.5,943.0,70.7,16.0,21.0,11086.0,1376.0,0.0,1144.0,1144.0,559.0,559.0,173.0,0.0,9.0,1376.0,12412.0,100.0,100.0,100.0,100.0,100.0,1.626842907981698,1.3525496269847839,0.10640687624880292,14.67469053333491,0.6764705882352942,0.05714285714285714,0.35714285714285715,0.6388888888888888,4,43.24112978524744,100.0,Lower review priority
Rajasthan,High Focus - Non-NE,685.48,685.48,41.0,62.0,62.0,62.0,34.0,22.9,5.9,29.0,86.0,2.3,919.0,70.4,21.0,34.0,15292.0,3516.0,0.0,2534.0,1503.0,286.0,154.0,848.0,11.0,63.0,3527.0,18737.0,100.0,100.0,54.83870967741935,59.31333859510655,53.84615384615385,5.145299644045049,3.6966796988971233,0.9190640135379589,27.33413082803291,0.14705882352941177,0.37142857142857144,0.35714285714285715,0.8194444444444444,4,42.37686741363212,100.0,Lower review priority
Goa,Non-High Focus - Large,14.59,14.59,2.0,4.0,4.0,4.0,4.0,10.8,6.8,6.0,,,,,,,226.0,21.0,0.0,24.0,13.0,4.0,4.0,6.0,0.0,2.0,21.0,258.0,100.0,100.0,100.0,54.166666666666664,100.0,1.4393420150788212,1.6449623029472242,1.3708019191226868,17.683344756682658,0.7647058823529411,0.42857142857142855,0.35714285714285715,0.125,4,41.885504201680675,62.5,Lower review priority
Nagaland,High Focus - NE,19.79,19.79,12.0,6.0,6.0,6.0,6.0,13.6,5.5,10.0,,,,,,,482.0,50.0,0.0,131.0,12.0,9.0,7.0,26.0,34.0,12.0,84.0,651.0,100.0,100.0,100.0,9.16030534351145,77.77777777777777,4.244567963617989,6.619504800404244,6.06366851945427,32.895401718039416,0.20588235294117646,0.8,0.35714285714285715,0.3055555555555556,4,41.71451914098973,62.5,Lower review priority
Tamil Nadu,Non-High Focus - Large,721.47,721.47,38.0,163.0,17.0,17.0,17.0,12.0,6.9,12.0,35.0,1.3,933.0,73.4,9.0,13.0,11077.0,2093.0,323.0,1443.0,1315.0,466.0,466.0,388.0,39.0,37.0,2455.0,12945.0,10.429447852760736,10.429447852760736,10.429447852760736,91.12959112959113,100.0,3.4027748901548227,2.0000831635411034,0.5128418368054112,17.942533993097427,0.2647058823529412,0.11428571428571428,0.9428571428571428,0.3333333333333333,4,41.37955182072829,100.0,Lower review priority
Mizoram,High Focus - NE,10.97,10.97,12.0,4.0,2.0,0.0,2.0,14.2,5.9,13.0,,,,,,,383.0,61.0,10.0,57.0,48.0,10.0,10.0,9.0,0.0,12.0,71.0,461.0,50.0,0.0,50.0,84.21052631578948,100.0,6.472196900638104,5.195989061075661,10.938924339106654,42.02370100273473,0.11764705882352941,0.2571428571428571,0.9142857142857143,0.3611111111111111,4,41.254668534080295,62.5,Lower review priority
Andaman & Nicobar Islands,Non-High Focus - Small & UT,3.81,3.81,3.0,1.0,0.0,0.0,0.0,10.1,6.3,9.0,,,,,,,128.0,26.0,0.0,22.0,20.0,5.0,5.0,4.0,0.0,3.0,26.0,157.0,0.0,0.0,0.0,90.9090909090909,100.0,6.824146981627297,5.774278215223097,7.874015748031496,41.20734908136483,0.08823529411764706,0.14285714285714285,0.9857142857142858,0.25,4,36.670168067226896,62.5,Lower review priority
Tripura,High Focus - NE,36.74,36.74,8.0,3.0,3.0,3.0,0.0,15.3,6.2,15.0,,,,,,,1023.0,130.0,0.0,111.0,94.0,11.0,11.0,21.0,0.0,6.0,130.0,1161.0,100.0,100.0,0.0,84.68468468468468,100.0,3.538377789874796,3.021230266739249,1.633097441480675,31.600435492651062,0.23529411764705882,0.2,0.35714285714285715,0.5277777777777778,4,33.00536881419235,62.5,Lower review priority
Ladakh,Non-High Focus - Small & UT,,,2.0,1.0,1.0,1.0,1.0,14.6,5.5,4.0,,,,,,,288.0,19.0,0.0,32.0,12.0,2.0,2.0,7.0,0.0,2.0,19.0,329.0,100.0,100.0,100.0,37.5,100.0,,,,,,0.5428571428571428,0.35714285714285715,0.05555555555555555,3,31.851851851851848,37.5,Lower review priority
Dadra & Nagar Haveli and Daman & Diu,Non-High Focus - Small & UT,5.87,5.87,3.0,2.0,2.0,1.0,2.0,15.9,4.8,9.0,,,,,,,72.0,13.0,1.0,13.0,11.0,1.0,1.0,1.0,0.0,2.0,14.0,88.0,100.0,50.0,100.0,84.61538461538461,100.0,2.385008517887564,2.2146507666098807,3.4071550255536627,14.991482112436115,0.38235294117647056,0.22857142857142856,0.35714285714285715,0.25,4,30.451680672268903,62.5,Lower review priority
Puducherry,Non-High Focus - Small & UT,12.48,12.48,4.0,4.0,4.0,4.0,4.0,12.1,6.4,7.0,,,,,,,83.0,27.0,0.0,39.0,34.0,21.0,21.0,4.0,0.0,5.0,27.0,131.0,100.0,100.0,100.0,87.17948717948718,100.0,2.1634615384615383,3.125,4.006410256410256,10.496794871794872,0.5,0.17142857142857143,0.35714285714285715,0.18055555555555555,4,30.228174603174608,62.5,Lower review priority
Manipur,High Focus - NE,28.56,28.56,16.0,6.0,6.0,3.0,4.0,13.0,4.5,3.0,,,,,,,427.0,88.0,1.0,86.0,61.0,11.0,11.0,17.0,0.0,7.0,89.0,537.0,100.0,50.0,66.66666666666667,70.93023255813954,100.0,3.11624649859944,3.011204481792717,2.450980392156863,18.80252100840336,0.29411764705882354,0.2857142857142857,0.35714285714285715,0.027777777777777776,4,24.118814192343603,62.5,Lower review priority
Sikkim,High Focus - NE,6.11,6.11,4.0,2.0,2.0,2.0,0.0,14.7,4.8,6.0,,,,,,,161.0,26.0,0.0,24.0,24.0,2.0,2.0,2.0,0.0,4.0,26.0,191.0,100.0,100.0,0.0,100.0,100.0,4.25531914893617,3.927986906710311,6.546644844517185,31.26022913256956,0.17647058823529413,0.05714285714285714,0.35714285714285715,0.125,4,17.89390756302521,62.5,Lower review priority
Lakshadweep,Non-High Focus - Small & UT,0.64,0.64,1.0,,,,,13.4,5.5,9.0,,,,,,,8.0,10.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,1.0,10.0,16.0,,,,100.0,,15.625,6.25,15.625,25.0,0.029411764705882353,0.05714285714285714,,0.25,3,11.218487394957984,50.0,Lower review priority
