cohort_month,activity_month,month_number,cohort_size,active_customers,retention_rate_pct
2017-04-01,2018-05-01,13,2256,1,0.04
2017-04-01,2018-06-01,14,2256,2,0.09
2017-04-01,2018-07-01,15,2256,2,0.09
2017-04-01,2018-08-01,16,2256,3,0.13
2017-05-01,2017-05-01,0,3451,3451,100.0
2017-05-01,2017-06-01,1,3451,16,0.46
2017-05-01,2017-07-01,2,3451,16,0.46
2017-05-01,2017-08-01,3,3451,10,0.29
2017-05-01,2017-09-01,4,3451,10,0.29
2017-05-01,2017-10-01,5,3451,11,0.32
2017-05-01,2017-11-01,6,3451,14,0.41
2017-05-01,2017-12-01,7,3451,5,0.14
2017-05-01,2018-01-01,8,3451,9,0.26
2017-05-01,2018-02-01,9,3451,9,0.26
2017-05-01,2018-03-01,10,3451,9,0.26
2017-05-01,2018-04-01,11,3451,12,0.35
2017-05-01,2018-05-01,12,3451,8,0.23
2017-05-01,2018-06-01,13,3451,1,0.03
2017-05-01,2018-07-01,14,3451,6,0.17
2017-05-01,2018-08-01,15,3451,7,0.2
2017-06-01,2017-06-01,0,3037,3037,100.0
2017-06-01,2017-07-01,1,3037,15,0.49
2017-06-01,2017-08-01,2,3037,12,0.4
2017-06-01,2017-09-01,3,3037,13,0.43
2017-06-01,2017-10-01,4,3037,9,0.3
2017-06-01,2017-11-01,5,3037,12,0.4
2017-06-01,2017-12-01,6,3037,11,0.36
2017-06-01,2018-01-01,7,3037,7,0.23
2017-06-01,2018-02-01,8,3037,4,0.13
2017-06-01,2018-03-01,9,3037,6,0.2
2017-06-01,2018-04-01,10,3037,9,0.3
2017-06-01,2018-05-01,11,3037,11,0.36
2017-06-01,2018-06-01,12,3037,5,0.16
2017-06-01,2018-07-01,13,3037,5,0.16
2017-06-01,2018-08-01,14,3037,7,0.23
2017-07-01,2017-07-01,0,3752,3752,100.0
2017-07-01,2017-08-01,1,3752,20,0.53
2017-07-01,2017-09-01,2,3752,13,0.35
2017-07-01,2017-10-01,3,3752,9,0.24
2017-07-01,2017-11-01,4,3752,11,0.29
2017-07-01,2017-12-01,5,3752,8,0.21
2017-07-01,2018-01-01,6,3752,12,0.32
2017-07-01,2018-02-01,7,3752,4,0.11
2017-07-01,2018-03-01,8,3752,7,0.19
2017-07-01,2018-04-01,9,3752,10,0.27
2017-07-01,2018-05-01,10,3752,8,0.21
2017-07-01,2018-06-01,11,3752,11,0.29
2017-07-01,2018-07-01,12,3752,5,0.13
2017-07-01,2018-08-01,13,3752,9,0.24
2017-08-01,2017-08-01,0,4057,4057,100.0
2017-08-01,2017-09-01,1,4057,28,0.69
2017-08-01,2017-10-01,2,4057,14,0.35
2017-08-01,2017-11-01,3,4057,11,0.27
2017-08-01,2017-12-01,4,4057,14,0.35
2017-08-01,2018-01-01,5,4057,21,0.52
2017-08-01,2018-02-01,6,4057,12,0.3
2017-08-01,2018-03-01,7,4057,11,0.27
2017-08-01,2018-04-01,8,4057,6,0.15
2017-08-01,2018-05-01,9,4057,6,0.15
2017-08-01,2018-06-01,10,4057,10,0.25
2017-08-01,2018-07-01,11,4057,8,0.2
2017-08-01,2018-08-01,12,4057,5,0.12
2017-09-01,2017-09-01,0,4004,4004,100.0
2017-09-01,2017-10-01,1,4004,28,0.7
2017-09-01,2017-11-01,2,4004,22,0.55
2017-09-01,2017-12-01,3,4004,11,0.27
2017-09-01,2018-01-01,4,4004,18,0.45
2017-09-01,2018-02-01,5,4004,9,0.22
2017-09-01,2018-03-01,6,4004,9,0.22
2017-09-01,2018-04-01,7,4004,10,0.25
2017-09-01,2018-05-01,8,4004,11,0.27
2017-09-01,2018-06-01,9,4004,7,0.17
2017-09-01,2018-07-01,10,4004,10,0.25
2017-09-01,2018-08-01,11,4004,3,0.07
2017-10-01,2017-10-01,0,4328,4328,100.0
2017-10-01,2017-11-01,1,4328,31,0.72
2017-10-01,2017-12-01,2,4328,11,0.25
2017-10-01,2018-01-01,3,4328,4,0.09
2017-10-01,2018-02-01,4,4328,10,0.23
2017-10-01,2018-03-01,5,4328,9,0.21
2017-10-01,2018-04-01,6,4328,9,0.21
2017-10-01,2018-05-01,7,4328,16,0.37
2017-10-01,2018-06-01,8,4328,12,0.28
2017-10-01,2018-07-01,9,4328,8,0.18
2017-10-01,2018-08-01,10,4328,9,0.21
2017-11-01,2017-11-01,0,7060,7060,100.0
2017-11-01,2017-12-01,1,7060,40,0.57
2017-11-01,2018-01-01,2,7060,26,0.37
2017-11-01,2018-02-01,3,7060,12,0.17
2017-11-01,2018-03-01,4,7060,12,0.17
2017-11-01,2018-04-01,5,7060,13,0.18
2017-11-01,2018-05-01,6,7060,8,0.11
2017-11-01,2018-06-01,7,7060,13,0.18
2017-11-01,2018-07-01,8,7060,9,0.13
2017-11-01,2018-08-01,9,7060,4,0.06
2017-12-01,2017-12-01,0,5338,5338,100.0
2017-12-01,2018-01-01,1,5338,11,0.21
2017-12-01,2018-02-01,2,5338,15,0.28
2017-12-01,2018-03-01,3,5338,18,0.34
2017-12-01,2018-04-01,4,5338,14,0.26
2017-12-01,2018-05-01,5,5338,11,0.21
2017-12-01,2018-06-01,6,5338,9,0.17
2017-12-01,2018-07-01,7,5338,1,0.02
2017-12-01,2018-08-01,8,5338,10,0.19
2018-01-01,2018-01-01,0,6842,6842,100.0
2018-01-01,2018-02-01,1,6842,23,0.34
2018-01-01,2018-03-01,2,6842,25,0.37
2018-01-01,2018-04-01,3,6842,20,0.29
2018-01-01,2018-05-01,4,6842,20,0.29
2018-01-01,2018-06-01,5,6842,11,0.16
2018-01-01,2018-07-01,6,6842,12,0.18
2018-01-01,2018-08-01,7,6842,16,0.23
2018-02-01,2018-02-01,0,6288,6288,100.0
2018-02-01,2018-03-01,1,6288,22,0.35
2018-02-01,2018-04-01,2,6288,25,0.4
2018-02-01,2018-05-01,3,6288,19,0.3
2018-02-01,2018-06-01,4,6288,16,0.25
2018-02-01,2018-07-01,5,6288,14,0.22
2018-02-01,2018-08-01,6,6288,13,0.21
2018-03-01,2018-03-01,0,6774,6774,100.0
2018-03-01,2018-04-01,1,6774,27,0.4
2018-03-01,2018-05-01,2,6774,20,0.3
2018-03-01,2018-06-01,3,6774,20,0.3
2018-03-01,2018-07-01,4,6774,8,0.12
2018-03-01,2018-08-01,5,6774,8,0.12
2018-04-01,2018-04-01,0,6582,6582,100.0
2018-04-01,2018-05-01,1,6582,39,0.59
2018-04-01,2018-06-01,2,6582,20,0.3
2018-04-01,2018-07-01,3,6582,16,0.24
2018-04-01,2018-08-01,4,6582,9,0.14
2018-05-01,2018-05-01,0,6506,6506,100.0
2018-05-01,2018-06-01,1,6506,34,0.52
2018-05-01,2018-07-01,2,6506,17,0.26
2018-05-01,2018-08-01,3,6506,12,0.18
2018-06-01,2018-06-01,0,5878,5878,100.0
2018-06-01,2018-07-01,1,5878,25,0.43
2018-06-01,2018-08-01,2,5878,16,0.27
